***BUSMASTER Ver 2.6.2***
***PROTOCOL CAN***
***NOTE: PLEASE DO NOT EDIT THIS DOCUMENT***
***[START LOGGING SESSION]***
***START DATE AND TIME 31:10:2019 11:48:35:580***
***HEX***
***SYSTEM MODE***
***START CHANNEL BAUD RATE***
***CHANNEL 1 - PCAN-USB Device ID - FFh - 500000 bps***
***END CHANNEL BAUD RATE***
***START DATABASE FILES (DBF/DBC)***
***END OF DATABASE FILES (DBF/DBC)***
***<Time><Tx/Rx><Channel><CAN ID><Type><DLC><DataBytes>***
11:48:48:8327 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:48:8728 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:48:8731 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:48:8826 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:48:9225 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:48:9228 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:48:9328 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:48:9626 Rx 1 0x18FE563D x 8 00 FE FF FF FF FF FF FF 
11:48:48:9727 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:48:9730 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:48:9733 Rx 1 0x14FD3E3D x 8 FF FE FF 20 22 FF FF FF 
11:48:48:9736 Rx 1 0x18FEF63D x 8 DE FE FE FE FF 20 22 FF 
11:48:48:9826 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:49:0226 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:49:0229 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:49:0232 Rx 1 0x18FEDF3D x 8 FF 00 00 00 FF 00 00 F0 
11:48:49:0234 Rx 1 0x18FEF53D x 8 DE FF FF 20 1D 41 FF FF 
11:48:49:0328 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:49:0727 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:49:0730 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:49:0826 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
